BW,Min,P_Min,Max,P_Max,Avg,P_Avg,Samples,,,,,,,
1050,4.195,7.8569,4.238,7.9185,4.21385714286,7.88475365649,7,,,,,,,
1055,4.191,7.8565,4.254,7.9221,4.2237,7.885901275537,10,,,,,,,
1060,4.197,7.8567,4.259,7.924,4.229125,7.885347942204,8,,,,,,,
1065,4.196,7.856,4.268,7.9235,4.2309,7.884964013633,10,,,,,,,
1070,4.19,7.8557,4.251,7.9235,4.21992857143,7.883824013633,14,,,,,,,
1075,4.215,7.8568,4.254,7.9213,4.23488888889,7.883202585061,9,,,,,,,
1080,4.199,7.8554,4.261,7.9227,4.22242105263,7.882802585061,19,,,,,,,
1085,4.191,7.856,4.263,7.9233,4.215625,7.883568172106,8,,,,,,,
1090,4.198,7.8561,4.27,7.9246,4.23309090909,7.884189005439,11,,,,,,,
1095,4.197,7.8557,4.267,7.9234,4.224,7.883172771673,11,,,,,,,
1100,4.191,7.8552,4.274,7.9218,4.22533333333,7.881736408037,9,,,,,,,
1105,4.193,7.8563,4.273,7.9205,4.21816666667,7.882343074704,12,,,,,,,
1110,4.19,7.8567,4.254,7.9194,4.22528571429,7.88323229039,14,,,,,,,
1115,4.193,7.857,4.268,7.9214,4.2195,7.883665257423,12,,,,,,,
1120,4.201,7.8568,4.229,7.9211,4.21371428571,7.884505257423,7,,,,,,,
1125,4.201,7.8558,4.268,7.924,4.23088888889,7.88537229039,9,,,,,,,
1130,4.205,7.855,4.267,7.9234,4.23007692308,7.883776258644,13,,,,,,,
1135,4.192,7.8538,4.276,7.9228,4.22183333333,7.883956066336,12,,,,,,,
1140,4.194,7.8557,4.258,7.9219,4.22292857143,7.884990914821,14,,,,,,,
1145,4.192,7.8554,4.251,7.9222,4.20963636364,7.883971391011,11,,,,,,,
1150,4.202,7.8564,4.261,7.9243,4.2314,7.886693468933,15,,,,,,,
1155,4.197,7.8554,4.262,7.9246,4.22705882353,7.885086802266,17,,,,,,,
1160,4.193,7.8558,4.274,7.9261,4.22961538462,7.884955919913,13,,,,,,,
1165,4.191,7.8562,4.265,7.9247,4.2279,7.884594381451,10,,,,,,,
1170,4.191,7.8563,4.258,7.9245,4.22238461538,7.882962714784,13,,,,,,,
1175,4.193,7.8566,4.262,7.9265,4.21492857143,7.883014253246,14,,,,,,,
1180,4.193,7.8567,4.261,7.9231,4.231875,7.88228806277,8,,,,,,,
1185,4.211,7.8575,4.267,7.9235,4.23218181818,7.88107056277,11,,,,,,,
1190,4.191,7.8559,4.261,7.9225,4.21273333333,7.879707936508,15,,,,,,,
1195,4.202,7.8563,4.272,7.9232,4.23685714286,7.880984603175,7,,,,,,,
1200,4.192,7.8554,4.264,7.9219,4.21533333333,7.878898888889,12,,,,,,,
1205,4.201,7.8556,4.277,7.9222,4.22575,7.880071805556,24,,,,,,,
1210,4.197,7.8556,4.26,7.9214,4.226,7.88086109127,7,,,,,,,
1215,4.192,7.8552,4.263,7.9217,4.21158333333,7.879905535714,12,,,,,,,
