Creating graph ...
BW;Min;Max;Avg;Len
350.0;0.0;1.625;1.875;1.79483333333;12
350.0;25.0;1.541;1.881;1.74883333333;12
350.0;50.0;1.577;1.869;1.77025;8
350.0;75.0;1.691;1.887;1.77836363636;11
350.0;100.0;1.66;1.867;1.75385714286;7
350.0;125.0;1.625;1.858;1.75783333333;12
350.0;150.0;1.663;1.867;1.79727272727;11
350.0;175.0;1.591;1.874;1.75490909091;11
350.0;200.0;1.809;1.847;1.828;2
350.0;225.0;1.723;1.873;1.81581818182;11
350.0;250.0;1.637;1.854;1.7669;10
350.0;275.0;1.7;1.86;1.81061538462;13
350.0;300.0;1.435;1.835;1.753;9
350.0;325.0;1.756;1.81;1.7829;10
350.0;350.0;1.767;1.858;1.80518181818;11
350.0;375.0;1.743;1.885;1.81222222222;9
350.0;400.0;1.783;1.873;1.823125;8
350.0;425.0;1.729;1.875;1.79970588235;17
350.0;450.0;1.764;1.904;1.837;13
350.0;475.0;1.746;1.874;1.80538461538;13
350.0;500.0;1.723;1.887;1.8319375;16
350.0;525.0;1.687;1.882;1.81625;16
350.0;550.0;1.579;1.877;1.81173333333;30
350.0;575.0;1.663;1.895;1.81288888889;27
350.0;600.0;1.734;1.891;1.81925806452;31
350.0;625.0;1.346;1.889;1.81374193548;31
350.0;650.0;1.645;1.894;1.82025;20
350.0;675.0;1.535;1.877;1.811;13
350.0;700.0;1.843;1.869;1.856;2
375.0;0.0;1.669;1.89;1.7854;15
375.0;25.0;1.673;1.845;1.7876;5
375.0;50.0;1.632;1.891;1.79833333333;9
375.0;75.0;1.703;1.884;1.7895;8
375.0;100.0;1.711;1.867;1.796875;8
375.0;125.0;1.782;1.881;1.83083333333;6
375.0;150.0;1.695;1.888;1.80511111111;9
375.0;175.0;1.585;1.87;1.78833333333;15
375.0;200.0;1.721;1.854;1.78533333333;6
375.0;225.0;1.763;1.887;1.829125;8
375.0;250.0;1.725;1.875;1.80933333333;9
375.0;275.0;1.767;1.886;1.82857142857;7
375.0;300.0;1.762;1.859;1.804125;8
375.0;325.0;1.746;1.894;1.82109090909;11
375.0;350.0;1.712;1.881;1.79042857143;7
375.0;375.0;1.733;1.864;1.80816666667;6
375.0;400.0;1.568;1.873;1.806;13
375.0;425.0;1.716;1.884;1.81783333333;18
375.0;450.0;1.751;1.872;1.82894117647;17
375.0;475.0;1.755;1.875;1.82173333333;15
375.0;500.0;1.66;1.87;1.80352;25
375.0;525.0;1.705;1.886;1.82713636364;22
375.0;550.0;1.721;1.886;1.82677777778;27
375.0;575.0;1.597;1.891;1.8112962963;27
375.0;600.0;1.676;1.895;1.82805263158;19
375.0;625.0;1.684;1.889;1.8212;25
375.0;650.0;1.675;1.883;1.813375;24
375.0;675.0;1.743;1.82;1.7876;5
375.0;700.0;1.771;1.771;1.771;1
400.0;0.0;1.671;1.881;1.77511111111;9
400.0;25.0;1.6;1.882;1.7530625;16
400.0;50.0;1.669;1.881;1.79664285714;14
400.0;75.0;1.506;1.886;1.75272727273;11
400.0;100.0;1.692;1.876;1.79957142857;7
400.0;125.0;1.718;1.836;1.775125;8
400.0;150.0;1.737;1.864;1.81966666667;3
400.0;175.0;1.692;1.859;1.7924;5
400.0;200.0;1.672;1.842;1.79011111111;9
400.0;225.0;1.732;1.865;1.814;8
400.0;250.0;1.713;1.881;1.81916666667;6
400.0;275.0;1.669;1.891;1.81977777778;9
400.0;300.0;1.76;1.893;1.80930769231;13
400.0;325.0;1.724;1.895;1.83341666667;12
400.0;350.0;1.741;1.878;1.82090909091;11
400.0;375.0;1.654;1.885;1.795;10
400.0;400.0;1.76;1.887;1.8266;10
400.0;425.0;1.695;1.866;1.81364285714;14
400.0;450.0;1.728;1.892;1.8071;20
400.0;475.0;1.703;1.889;1.81795454545;22
400.0;500.0;1.738;1.879;1.82775;20
400.0;525.0;1.541;1.875;1.810125;24
400.0;550.0;1.626;1.89;1.81266666667;18
400.0;575.0;1.672;1.89;1.82136;25
400.0;600.0;1.639;1.886;1.81837931034;29
400.0;625.0;1.724;1.886;1.83252631579;19
400.0;650.0;1.682;1.892;1.82916666667;24
400.0;675.0;1.83;1.891;1.856;4
400.0;700.0;1.821;1.821;1.821;1
425.0;0.0;1.602;1.877;1.779375;16
425.0;25.0;1.626;1.836;1.75606666667;15
425.0;50.0;1.728;1.874;1.81554545455;11
425.0;75.0;1.608;1.869;1.7675;12
425.0;100.0;1.619;1.853;1.7754375;16
425.0;125.0;1.743;1.89;1.81825;8
425.0;150.0;1.753;1.877;1.8265;6
425.0;175.0;1.602;1.869;1.77266666667;6
425.0;200.0;1.736;1.887;1.81725;12
425.0;225.0;1.767;1.883;1.81216666667;6
425.0;250.0;1.598;1.859;1.79792307692;13
425.0;275.0;1.665;1.89;1.8156;10
425.0;300.0;1.708;1.881;1.80053333333;15
425.0;325.0;1.671;1.886;1.77584615385;13
425.0;350.0;1.741;1.863;1.81523076923;13
425.0;375.0;1.739;1.88;1.81744444444;9
425.0;400.0;1.742;1.874;1.82029411765;17
425.0;425.0;1.751;1.881;1.82309090909;11
425.0;450.0;1.666;1.887;1.81114285714;21
425.0;475.0;1.731;1.869;1.83047368421;19
425.0;500.0;1.697;1.888;1.81594736842;19
425.0;525.0;1.772;1.881;1.8275;22
425.0;550.0;1.712;1.892;1.82782352941;17
425.0;575.0;1.628;1.887;1.81885714286;28
425.0;600.0;1.664;1.893;1.81390322581;31
425.0;625.0;1.603;1.887;1.81168;25
425.0;650.0;1.796;1.877;1.83773333333;15
425.0;675.0;1.719;1.867;1.81566666667;15
425.0;700.0;1.839;1.839;1.839;1
450.0;0.0;1.626;1.847;1.76781818182;11
450.0;25.0;1.638;1.885;1.8082;10
450.0;50.0;1.672;1.878;1.795;11
450.0;75.0;1.75;1.881;1.82016666667;6
450.0;100.0;1.694;1.885;1.78955555556;9
450.0;125.0;1.572;1.866;1.737875;8
450.0;150.0;1.688;1.89;1.781875;8
450.0;175.0;1.631;1.886;1.81353846154;13
450.0;200.0;1.473;1.845;1.74225;12
450.0;225.0;1.77;1.871;1.83;11
450.0;250.0;1.766;1.874;1.81177777778;9
450.0;275.0;1.716;1.859;1.81263636364;11
450.0;300.0;1.684;1.891;1.79654545455;11
450.0;325.0;1.737;1.891;1.8066;10
450.0;350.0;1.667;1.865;1.79285714286;14
450.0;375.0;1.609;1.888;1.773875;8
450.0;400.0;1.677;1.883;1.8129;10
450.0;425.0;1.721;1.882;1.82895652174;23
450.0;450.0;1.75;1.887;1.82915;20
450.0;475.0;1.682;1.89;1.81489473684;19
450.0;500.0;1.599;1.874;1.78568181818;22
450.0;525.0;1.53;1.889;1.81190322581;31
450.0;550.0;1.686;1.889;1.83839285714;28
450.0;575.0;1.62;1.892;1.80145833333;24
450.0;600.0;1.681;1.886;1.81751219512;41
450.0;625.0;1.569;1.887;1.81857692308;26
450.0;650.0;1.65;1.881;1.79993333333;15
450.0;675.0;1.79;1.897;1.85944444444;9
475.0;0.0;1.748;1.876;1.809;5
475.0;25.0;1.504;1.879;1.75906666667;15
475.0;50.0;1.686;1.86;1.798625;8
475.0;75.0;1.703;1.875;1.7997;10
475.0;100.0;1.741;1.889;1.824875;8
475.0;125.0;1.554;1.892;1.8032;10
475.0;150.0;1.751;1.884;1.83141666667;12
475.0;175.0;1.709;1.87;1.81775;8
475.0;200.0;1.631;1.893;1.8122;15
475.0;225.0;1.656;1.891;1.80994444444;18
475.0;250.0;1.769;1.884;1.82118181818;11
475.0;275.0;1.613;1.879;1.769;6
475.0;300.0;1.802;1.89;1.8526;10
475.0;325.0;1.765;1.877;1.83;9
475.0;350.0;1.671;1.876;1.810625;16
475.0;375.0;1.597;1.873;1.77672727273;11
475.0;400.0;1.744;1.888;1.82977777778;9
475.0;425.0;1.696;1.883;1.80784210526;19
475.0;450.0;1.638;1.88;1.80606666667;15
475.0;475.0;1.539;1.887;1.81708333333;24
475.0;500.0;1.632;1.886;1.81713043478;23
475.0;525.0;1.693;1.882;1.824375;16
